SK_ID_CURR,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_PHONE,REGION_RATING_CLIENT,HOUR_APPR_PROCESS_START,REG_CITY_NOT_WORK_CITY,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_TYPE_SUITE_Family,NAME_TYPE_SUITE_Unaccompanied,NAME_INCOME_TYPE_Commercialassociate,NAME_INCOME_TYPE_Pensioner,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Highereducation,NAME_EDUCATION_TYPE_Secondarysecondaryspecial,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Singlenotmarried,OCCUPATION_TYPE_Laborers,WEEKDAY_APPR_PROCESS_START_FRIDAY,WEEKDAY_APPR_PROCESS_START_MONDAY,WEEKDAY_APPR_PROCESS_START_THURSDAY,WEEKDAY_APPR_PROCESS_START_TUESDAY,WEEKDAY_APPR_PROCESS_START_WEDNESDAY,ORGANIZATION_TYPE_BusinessEntityType3,ORGANIZATION_TYPE_Selfemployed,FONDKAPREMONT_MODE_regoperaccount,HOUSETYPE_MODE_blockofflats,WALLSMATERIAL_MODE_Panel,WALLSMATERIAL_MODE_Stonebrick,DAYS_EMPLOYED_PERC,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_MAX,BURO_DAYS_CREDIT_VAR,BURO_DAYS_CREDIT_ENDDATE_MIN,BURO_DAYS_CREDIT_ENDDATE_MAX,BURO_DAYS_CREDIT_ENDDATE_MEAN,BURO_CREDIT_DAY_OVERDUE_MAX,BURO_CREDIT_DAY_OVERDUE_MEAN,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,BURO_AMT_CREDIT_SUM_MAX,BURO_AMT_CREDIT_SUM_DEBT_MAX,BURO_AMT_CREDIT_SUM_DEBT_MEAN,BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,BURO_AMT_CREDIT_SUM_LIMIT_MEAN,BURO_AMT_CREDIT_SUM_LIMIT_SUM,BURO_MONTHS_BALANCE_SIZE_SUM,BURO_CREDIT_ACTIVE_Active_MEAN,BURO_CREDIT_ACTIVE_Closed_MEAN,BURO_CREDIT_CURRENCY_currency1_MEAN,BURO_CREDIT_TYPE_Consumercredit_MEAN,ACTIVE_DAYS_CREDIT_MIN,ACTIVE_DAYS_CREDIT_MAX,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,ACTIVE_AMT_CREDIT_SUM_MAX,ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,ACTIVE_MONTHS_BALANCE_SIZE_SUM,CLOSED_DAYS_CREDIT_MAX,CLOSED_DAYS_CREDIT_VAR,CLOSED_DAYS_CREDIT_ENDDATE_MIN,CLOSED_DAYS_CREDIT_ENDDATE_MAX,CLOSED_DAYS_CREDIT_ENDDATE_MEAN,CLOSED_CREDIT_DAY_OVERDUE_MAX,CLOSED_CREDIT_DAY_OVERDUE_MEAN,CLOSED_AMT_CREDIT_SUM_MAX,CLOSED_AMT_CREDIT_SUM_DEBT_MAX,CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,CLOSED_AMT_CREDIT_SUM_LIMIT_SUM,PREV_AMT_ANNUITY_MIN,PREV_AMT_ANNUITY_MAX,PREV_AMT_APPLICATION_MIN,PREV_APP_CREDIT_PERC_MIN,PREV_APP_CREDIT_PERC_MAX,PREV_AMT_DOWN_PAYMENT_MIN,PREV_AMT_DOWN_PAYMENT_MAX,PREV_AMT_GOODS_PRICE_MIN,PREV_HOUR_APPR_PROCESS_START_MIN,PREV_HOUR_APPR_PROCESS_START_MAX,PREV_DAYS_DECISION_MIN,PREV_DAYS_DECISION_MAX,PREV_DAYS_DECISION_MEAN,PREV_CNT_PAYMENT_MEAN,PREV_CNT_PAYMENT_SUM,PREV_NAME_CONTRACT_TYPE_Cashloans_MEAN,PREV_NAME_CONTRACT_TYPE_Consumerloans_MEAN,PREV_NAME_PAYMENT_TYPE_Cashthroughthebank_MEAN,PREV_NAME_TYPE_SUITE_nan_MEAN,PREV_NAME_CLIENT_TYPE_New_MEAN,PREV_NAME_CLIENT_TYPE_Repeater_MEAN,PREV_CHANNEL_TYPE_Countrywide_MEAN,PREV_NAME_SELLER_INDUSTRY_Consumerelectronics_MEAN,APPROVED_CNT_PAYMENT_SUM,POS_MONTHS_BALANCE_MAX,POS_MONTHS_BALANCE_SIZE,POS_SK_DPD_MAX,POS_SK_DPD_DEF_MAX,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,INSTAL_DPD_MAX,INSTAL_DPD_MEAN,INSTAL_DPD_SUM,INSTAL_DBD_MAX,INSTAL_DBD_MEAN,INSTAL_DBD_SUM,INSTAL_PAYMENT_PERC_MAX,INSTAL_PAYMENT_PERC_MEAN,INSTAL_PAYMENT_DIFF_MAX,INSTAL_PAYMENT_DIFF_MEAN,INSTAL_PAYMENT_DIFF_SUM,INSTAL_PAYMENT_DIFF_VAR,INSTAL_AMT_INSTALMENT_MAX,INSTAL_AMT_INSTALMENT_MEAN,INSTAL_AMT_INSTALMENT_SUM,INSTAL_AMT_PAYMENT_MIN,INSTAL_DAYS_ENTRY_PAYMENT_SUM
247416,0,0,1,0,2,135000.0,270000.0,13500.0,270000.0,-48.93150684931507,1772.0,5256.0,1421.0,1,0,0,2,11,0,1.0,0.0,1002.0,0,1.0,0.0,1.0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.09921612541993281,0.5,33750.0,0.1,0.05,2845.0,83.0,1414422.0,1748.0,-1378.0,158.5,0.0,0.0,0.0,1434258.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.25,0.75,1.0,0.0,83.0,83.0,-1378.0,11.0,1434258.0,0.0,0.0,796.0,1058187.0,1748.0,-300.0,670.6666666666666,0.0,0.0,590346.0,-0.0,-0.0,0.0,0.0,-0.0,2920.5,29218.14,25713.0,0.893813219586014,1.0,-0.0,0.0,25713.0,9.0,13.0,1002.0,247.0,540.0,19.0,76.0,0.25,0.75,0.75,0.75,0.25,0.75,0.25,0.0,40.0,2.0,39.0,2.0,2.0,1.0,15.0,1.709090909090909,94.0,38.0,9.018181818181818,496.0,1.0,0.6727272727272727,-12823.515,-2620.363909090909,-144120.015,14922047.415740456,12932.325,7549.473272727273,415221.03,5.985,25627.0
369423,0,0,1,0,0,108000.0,677664.0,29979.0,585000.0,-45.087671232876716,5197.0,1851.0,20.0,1,0,0,2,16,0,0.0,0.0,1889.0,1,0.0,0.0,3.0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.31579267181138726,0.15937101572460688,54000.0,0.27758333333333335,0.04423873778155546,1914.0,121.0,504885.28571428574,1606.0,-596.0,793.0,0.0,0.0,2289.366,1107472.5,-0.0,-0.0,0.0,-0.0,-0.0,112.0,0.2857142857142857,0.7142857142857143,1.0,0.7142857142857143,1914.0,121.0,1606.0,71.5,77265.0,0.0,10.0,283.0,350164.8,1535.0,-596.0,782.75,0.0,0.0,1107472.5,-0.0,-0.0,0.0,-0.0,-0.0,2652.705,44620.74,0.0,0.90450248357635,1.3839314067958082,-0.0,13320.0,19611.0,11.0,21.0,2754.0,168.0,1239.3076923076924,15.333333333333334,138.0,0.23076923076923078,0.7692307692307693,0.7692307692307693,0.5384615384615384,0.07692307692307693,0.9230769230769231,0.5384615384615384,0.38461538461538464,138.0,9.0,75.0,12.0,0.0,2.0,26.0,0.6231884057971014,43.0,111.0,12.304347826086957,849.0,1.0,0.9420289855072463,-7663.005,-445.8886956521739,-30766.32,3221478.1522107734,99458.28,8188.890652173913,565033.455,28.575,99560.0
261333,0,0,0,1,0,72000.0,364032.0,10561.5,288000.0,-28.86027397260274,2584.0,656.0,3226.0,1,0,0,2,14,1,0.0,0.0,4.0,1,0.0,0.0,0.0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.24530093032086578,0.19778481012658228,36000.0,0.1466875,0.029012559335443038,2740.0,617.0,1006095.1,2415.0,-1116.0,396.3333333333333,0.0,0.0,0.0,540000.0,-4455.0,-742.5,0.0,-37500.0,-225000.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,710.0,710.0,-50.0,680.0,97911.72,0.0,0.0,617.0,1200034.9166666667,2415.0,-478.0,886.0,0.0,0.0,540000.0,-0.0,-0.0,0.0,-56250.0,-225000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228476,0,0,0,1,0,261000.0,621000.0,24192.0,621000.0,-37.515068493150686,2813.0,3711.0,3981.0,1,0,0,2,7,0,0.0,0.0,1720.0,1,0.0,0.0,6.0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0.20543343314102097,0.42028985507246375,130500.0,0.09268965517241379,0.03895652173913043,1412.0,40.0,296439.8,1047.0,-4637.0,-878.6,0.0,0.0,3478.965,2250000.0,-2139624.0,-439732.8,0.0,-0.0,-0.0,0.0,0.6,0.4,1.0,0.6,818.0,40.0,-355.0,50.666666666666664,2250000.0,0.0,0.0,1211.0,20200.5,1047.0,115.0,581.0,0.0,0.0,360000.0,-0.0,-0.0,0.0,-0.0,-0.0,4179.96,26496.72,31455.0,0.6523582751647204,1.026431718061674,-0.0,3145.5,31455.0,9.0,15.0,2004.0,546.0,1224.4,29.6,148.0,0.8,0.2,1.0,0.4,0.2,0.8,0.2,0.0,148.0,1.0,83.0,1.0,1.0,2.0,2.0,0.14634146341463414,12.0,43.0,7.365853658536586,604.0,1.0,0.9512195121951219,-12516.525,-379.68256097560976,-31133.97,3213409.000237805,197586.225,18259.180792682928,1497252.825,0.945,71441.0
144367,0,1,0,0,0,76500.0,540000.0,15916.5,540000.0,-61.8054794520548,1648.0,4124.0,4152.0,0,0,0,2,12,0,2.0,0.0,728.0,0,0.0,1.0,4.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.11873272799052507,0.14166666666666666,76500.0,0.20805882352941177,0.029475,602.0,183.0,43480.25,-493.0,-1643.0,-858.75,0.0,0.0,0.0,571500.0,-546961.5,-223895.25,0.0,-0.0,-0.0,0.0,0.75,0.25,1.0,0.75,602.0,183.0,-493.0,192.0,571500.0,0.0,0.0,602.0,0.0,-493.0,-493.0,-493.0,0.0,0.0,310500.0,-0.0,-0.0,0.0,-0.0,-0.0,16554.555,25261.425,0.0,0.8632582755810858,1.0,-0.0,0.0,438183.0,10.0,14.0,728.0,334.0,465.6666666666667,42.0,84.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,84.0,6.0,23.0,0.0,0.0,3.0,2.0,0.09090909090909091,2.0,30.0,11.181818181818182,246.0,2.030764297738548,1.0909508270185981,-0.0,2331.818181818182,51300.0,56977367.06352273,532805.4,54614.041363636374,1201508.9100000001,16554.555,9156.0
142097,0,0,1,0,0,135000.0,450000.0,28890.0,450000.0,-51.553424657534244,2069.0,4.0,2367.0,1,0,0,2,15,1,9.0,0.0,521.0,1,0.0,0.0,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.10995376521230801,0.3,67500.0,0.214,0.0642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8801.91,22500.0,0.0,0.9044746103569633,1.0,-0.0,0.0,80955.0,12.0,16.0,667.0,8.0,398.6666666666667,6.0,12.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,12.0,9.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,6.566666666666666,394.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,190212.12,26663.461499999998,1599807.69,225.0,18025.0
396017,1,1,0,0,0,225000.0,1024290.0,30078.0,855000.0,-53.13972602739726,3794.0,3632.0,2684.0,1,0,0,2,11,0,0.0,0.0,740.0,1,0.0,0.0,4.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0.19560734171994226,0.21966435286881644,112500.0,0.13368,0.029364730691503384,957.0,957.0,0.0,773.0,773.0,773.0,0.0,0.0,0.0,93420.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957.0,0.0,773.0,773.0,773.0,0.0,0.0,93420.0,-0.0,-0.0,0.0,-0.0,-0.0,22500.0,46087.875,0.0,0.9266140056330792,1.1111111111111112,-49950.0,49950.0,225000.0,10.0,14.0,740.0,222.0,434.4,12.0,48.0,0.4,0.2,0.4,0.6,0.2,0.8,0.0,0.0,48.0,1.0,27.0,0.0,0.0,3.0,0.0,0.0,0.0,70.0,9.941176470588236,338.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,237366.63,35463.340588235296,1205753.58,164.655,10189.0
245046,0,1,0,0,0,202500.0,1024740.0,52452.0,900000.0,-37.92054794520548,1121.0,7917.0,4637.0,1,0,1,1,15,0,1.0,1.0,-0.0,1,0.0,0.0,1.0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0.08099125785709126,0.1976111013525382,101250.0,0.2590222222222222,0.05118566660811523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7732.89,8757.63,39145.5,1.026431466575327,1.0586588779359865,-3915.0,8091.0,39145.5,14.0,16.0,2367.0,2092.0,2229.5,8.0,16.0,0.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,16.0,62.0,17.0,1.0,1.0,1.0,25.0,4.136363636363637,91.0,29.0,8.363636363636363,184.0,1.0,0.7272727272727273,-8656.695,-2202.128181818182,-48446.82,13395465.329972727,8757.63,8287.418863636363,182323.215,7.11,46185.0
296362,0,0,1,1,2,112500.0,284400.0,13387.5,225000.0,-30.293150684931508,3601.0,5929.0,2419.0,1,0,0,2,5,0,0.0,0.0,854.0,1,0.0,0.0,1.0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.32567604232612823,0.39556962025316456,28125.0,0.119,0.04707278481012658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13381.38,33750.0,79416.0,1.0,1.187378052882998,-15885.0,15885.0,79416.0,4.0,9.0,854.0,440.0,647.0,3.0,6.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,6.0,23.0,6.0,0.0,0.0,3.0,1.0,0.023809523809523808,1.0,16.0,2.7142857142857144,114.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,34954.65,12827.629285714283,538760.4299999999,37.395,12150.0
382420,1,0,1,0,0,166500.0,506889.0,23629.5,418500.0,-43.42739726027397,858.0,7906.0,4013.0,1,1,1,2,13,0,0.0,0.0,683.0,0,0.0,0.0,1.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.05412907702984039,0.3284742813515385,166500.0,0.14191891891891892,0.04661671490207915,1298.0,1298.0,0.0,751.0,751.0,751.0,0.0,0.0,37762.65,222152.49,-0.0,-0.0,0.0,-0.0,-0.0,0.0,1.0,0.0,1.0,1.0,1298.0,1298.0,751.0,685.0,222152.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2734.2,29006.145,33862.5,0.9044916090819348,1.25,-0.0,6772.5,33862.5,8.0,16.0,683.0,30.0,417.25,15.0,60.0,0.5,0.5,1.0,0.75,0.25,0.75,0.25,0.25,24.0,11.0,13.0,0.0,0.0,1.0,3.0,0.23076923076923078,3.0,30.0,5.3076923076923075,69.0,1.0,0.9230769230769231,-9964.575,-845.6088461538462,-10992.915,7587877.65976731,10992.915,10987.823076923078,142841.7,1028.34,6429.0
